year,group
1869,1
1869,2
1869,3
1870,4
1870,5
1870,6
1870,7
1870,8
1871,9
1871,10
1871,11
1871,12
1871,13
1871,14
1871,15
1871,16
1871,17
1871,18
1872,19
1872,20
1872,21
1872,22
1872,23
1872,24
1872,25
1873,26
1873,27
1873,28
1873,29
1873,30
1873,31
1874,32
1874,33
1874,34
1874,35
1874,36
1874,37
1874,38
1875,1
1875,2
1875,3
1875,4
1875,5
1875,6
1875,7
1875,8
1875,9
1875,10
1875,11
1875,12
1875,13
1875,14
1876,15
1876,16
1876,17
1876,18
1876,19
1876,20
1876,21
1877,22
1876,23
1877,24
1877,25
1877,26
1878,27
1878,28
1878,29
1878,30
1878,31
1878,32
1878,33
1878,34
1878,35
1878,36
1878,37
1878,38
1878,39
1879,40
1879,41
1879,42
1879,43
1879,44
1879,45
1879,46
1879,47
1880,1
1880,2
1880,3
1880,4
1880,5
1880,6
1880,7
1880,8
1880,9
1880,10
1881,11
1881,12
1881,13
1881,14
1881,15
1881,16
1882,17
1882,18
1882,19
1882,20
1882,21
1882,1
1882,2
1882,3
1882,4
1882,5
1882,6
1883,7
1883,8
1883,9
1883,10
1883,11
1883,12
1883,13
1883,14
1883,15
1883,16
1883,17
1883,18
1883,19
1883,20
1883,21
1883,22
1883,23
1883,24
1884,25
1884,26
1884,27
1884,28
1884,29
1884,30
1884,31
1884,32
1884,33
1885,34
1885,35
1885,36
1885,37
1885,38
1885,39
1885,40
1885,41
1885,42
1885,43
1885,44
1885,45
1885,1
1885,2
1886,3
1886,4
1886,5
1886,6
1886,7
1887,8
1887,9
1887,10
1887,11
1888,12
1888,13
1888,14
1888,15
1888,16
1888,17
1888,18
1888,19
1888,20
1888,21
1888,22
1888,23
1888,24
1888,25
