,year,group,text
0,1869,1,"['wer', 'heutzutage', 'von', 'aeschylus', 'sophocles', 'euripides', 'spricht', 'oder', 'hört', 'der', 'denkt', 'unwillkürlich', 'zunächst', 'an', 'sie', 'als', 'litteraturpoeten', 'weil', 'er', 'sie', 'aus', 'dem', 'buche', 'im', 'original', 'oder', 'in', 'der', 'übersetzung', 'hat', 'kennen', 'lernen:', 'dies', 'ist', 'aber', 'ungefähr', 'so', 'als', 'ob', 'jemand', 'vom', 'tannhäuser', 'spricht', 'und', 'dabei', 'das', 'textbuch', 'und', 'nichts', 'mehr', 'meint', 'und', 'versteht', 'von', 'jenen', 'männern', 'soll', 'also', 'gesprochen', 'werden', 'nicht', 'als', 'librettisten:', 'sondern', 'als', 'operncomponisten', 'doch', 'weiss', 'ich', 'wohl', 'dass', 'ich', 'mit', 'dem', 'worte', 'oper', 'ihnen', 'eine', 'carrikatur', 'in', 'die', 'hand', 'gebe:', 'wenn', 'auch', 'nur', 'wenige', 'von', 'ihnen', 'das', 'zuerst', 'zugeben', 'werden', 'vielmehr', 'bin', 'ich', 'zufrieden', 'wenn', 'sie', 'am', 'schlusse', 'überzeugt', 'sind', 'dass', 'unsere', 'opern', 'gegenüber', 'dem', 'antiken', 'musikdrama', 'nur', 'carikaturen', 'sind']"
1,1869,2,"['das', 'christenthum', 'ursprünglich', 'sache', 'des', 'talentes', 'mußte', 'demokratisirt', 'werden', 'langsames', 'ringen', 'zur', 'weltreligion', 'nur', 'indem', 'alles', 'vertiefte', 'esoterische', 'dem', 'einzelnen', 'talentvollen', 'zugängliche', 'exstirpirt', 'wurde', '—', 'dadurch', 'trat', 'auch', 'der', 'optimismus', 'wieder', 'hinein', 'ohne', 'den', 'eine', 'weltreligion', 'sich', 'nicht', 'halten', 'kann', 'purgatorio', 'und', 'κατάστασις', 'sind', 'seine', 'schöpfungen']"
2,1869,3,"['wir', 'sind', 'leider', 'gewöhnt', 'die', 'künste', 'in', 'der', 'vereinzelung', 'zu', 'genießen', 'was', 'sich', 'in', 'seiner', 'thorheit', 'am', 'grellsten', 'an', 'der', 'gemäldegallerie', 'und', 'am', 'sogenannten', 'conzert', 'offenbart', 'bei', 'dieser', 'traurigen', 'modernen', 'unart', 'der', 'absoluten', 'künste', 'fehlt', 'jede', 'organisation', 'die', 'die', 'künste', 'als', 'gesammtkunst', 'pflegt', 'und', 'ausbildet', 'die', 'letzten', 'erscheinungen', 'dieser', 'art', 'sind', 'vielleicht', 'die', 'großen', 'italienischen', 'trionfi', 'gewesen', 'in', 'der', 'gegenwart', 'hat', 'das', 'antike', 'musikdrama', 'nur', 'ein', 'verblasstes', 'analogon', 'in', 'der', 'vereinigung', 'der', 'künste', 'im', 'ritus', 'der', 'catholischen', 'kirche']"
3,1870,4,"['erlangen', 'samstag', 'den', '20', 'august']"
4,1870,5,"['gedanken', 'zu', 'die', 'tragoedie', 'und', 'die', 'freigeister']"
5,1870,6,['§']
6,1870,7,"['das', 'schöne', 'in', 'jeder', 'kunst', 'beginnt', 'erst', 'wo', 'das', 'rein', 'logische', 'überwunden', 'wird', 'z', 'b', 'zeigt', 'die', 'entwicklung', 'der', 'harmonie', 'eine', 'solche', 'durchbrechung', 'des', 'physiologisch-schönen', 'zu', 'einem', 'höheren', 'schönen', 'eine', 'immer', 'entfleischtere', 'form', 'des', 'schönen']"
7,1870,8,"['das', 'weib', 'dem', 'staate', 'gegenüber', '—', 'der', 'schlaf']"
8,1871,9,"['die', 'oper', 'und', 'die', 'griechische', 'tragoedie']"
9,1871,10,"['geschrieben', 'in', 'den', 'ersten', 'wochen', 'des', 'jahres', '1871']"
10,1871,11,"['vorwort', 'an', 'richard', 'wagner']"
11,1871,12,"['was', 'wir', 'hier', 'über', 'das', 'verhältniß', 'der', 'sprache', 'zur', 'musik', 'aufgestellt', 'haben', 'muß', 'aus', 'gleichen', 'gründen', 'auch', 'vom', 'verhältniß', 'des', 'mimus', 'zur', 'musik', 'gelten', 'auch', 'der', 'mimus', 'als', 'die', 'gesteigerte', 'geberdensymbolik', 'des', 'menschen', 'ist', 'an', 'der', 'ewigen', 'bedeutsamkeit', 'der', 'musik', 'gemessen', 'nur', 'ein', 'gleichniß', 'das', 'deren', 'innerstes', 'geheimniß', 'gar', 'nicht', 'sondern', 'nur', 'ihre', 'rhythmische', 'außenseite', 'und', 'auch', 'diese', 'nur', 'sehr', 'äußerlich', 'nämlich', 'am', 'substrat', 'des', 'leidenschaftlich-bewegten', 'menschenleibes', 'darstellen', 'kann', 'fassen', 'wir', 'aber', 'auch', 'die', 'sprache', 'mit', 'unter', 'die', 'kategorie', 'der', 'leiblichen', 'symbolik', 'halten', 'wir', 'selbst', 'das', 'drama', 'gemäß', 'unserem', 'aufgestellten', 'kanon', 'an', 'die', 'musik', 'heran:', 'so', 'dürfte', 'jetzt', 'ein', 'satz', 'schopenhauers', 'in', 'die', 'hellste', 'beleuchtung', 'treten', '(parerga', 'band', '2', 's', '465):', 'es', 'möchte', 'hingehn', 'obgleich', 'ein', 'rein', 'musikalischer', 'geist', 'es', 'nicht', 'verlangt', 'daß', 'man', 'der', 'reinen', 'sprache', 'der', 'töne', 'obwohl', 'sie', 'selbstgenugsam', 'keiner', 'beihülfe', 'bedarf', 'worte', 'sogar', 'auch', 'eine', 'anschaulich', 'vorgeführte', 'handlung', 'zugesellt', 'und', 'unterlegt', 'damit', 'unser', 'anschauender', 'und', 'reflektirender', 'intellekt', 'der', 'nicht', 'ganz', 'müßig', 'sein', 'mag', 'doch', 'auch', 'eine', 'leichte', 'und', 'analoge', 'beschäftigung', 'dabei', 'erhalte', 'wodurch', 'sogar', 'die', 'aufmerksamkeit', 'der', 'musik', 'fester', 'anhängt', 'und', 'folgt', 'auch', 'zugleich', 'dem', 'was', 'die', 'töne', 'in', 'ihrer', 'allgemeinen', 'bilderlosen', 'sprache', 'des', 'herzens', 'besagen', 'ein', 'anschauliches', 'bild', 'gleichsam', 'ein', 'schema', 'oder', 'wie', 'ein', 'exempel', 'zu', 'einem', 'allgemeinen', 'begriff', 'untergelegt', 'wird:', 'ja', 'dergleichen', 'wird', 'den', 'eindruck', 'der', 'musik', 'erhöhen', 'wenn', 'wir', 'von', 'der', 'rationalistisch', 'äußerlichen', 'motivierung', 'absehn', 'wonach', 'unser', 'anschauender', 'und', 'reflektirender', 'intellekt', 'beim', 'anhören', 'der', 'musik', 'nicht', 'ganz', 'müßig', 'sein', 'mag', 'und', 'die', 'aufmerksamkeit', 'an', 'der', 'hand', 'einer', 'anschaulichen', 'aktion', 'besser', 'folgt', '—', 'so', 'ist', 'von', 'schopenhauer', 'mit', 'höchstem', 'rechte', 'das', 'drama', 'im', 'verhältniß', 'zur', 'musik', 'als', 'ein', 'schema', 'als', 'ein', 'exempel', 'zu', 'einem', 'allgemeinen', 'begriff', 'charakterisirt', 'worden:', 'und', 'wenn', 'er', 'hinzufügt', 'ja', 'dergleichen', 'wird', 'den', 'eindruck', 'der', 'musik', 'erhöhen', 'so', 'bürgt', 'die', 'ungeheure', 'allgemeinheit', 'und', 'ursprünglichkeit', 'der', 'vokalmusik', 'der', 'verbindung', 'von', 'ton', 'mit', 'bild', 'und', 'begriff', 'für', 'die', 'richtigkeit', 'dieses', 'ausspruchs', 'die', 'musik', 'jedes', 'volkes', 'beginnt', 'durchaus', 'im', 'bunde', 'mit', 'der', 'lyrik', 'und', 'lange', 'bevor', 'an', 'eine', 'absolute', 'musik', 'gedacht', 'werden', 'kann', 'durchläuft', 'sie', 'in', 'jener', 'vereinigung', 'die', 'wichtigsten', 'entwicklungsstufen', 'verstehen', 'wir', 'diese', 'urlyrik', 'eines', 'volkes', 'wie', 'wir', 'es', 'ja', 'müssen', 'als', 'eine', 'nachahmung', 'der', 'künstlerisch', 'vorbildenden', 'natur', 'so', 'muß', 'uns', 'als', 'ursprüngliches', 'vorbild', 'jener', 'vereinigung', 'von', 'musik', 'und', 'lyrik', 'die', 'von', 'der', 'natur', 'vorgebildete', 'doppelheit', 'im', 'wesen', 'der', 'sprache', 'gelten:', 'in', 'welches', 'wir', 'jetzt', 'nach', 'den', 'erörterungen', 'über', 'die', 'stellung', 'von', 'musik', 'zum', 'bild', 'tiefer', 'eindringen', 'werden']"
12,1871,13,"['zum', 'schluß', 'der', 'einleitung:']"
13,1871,14,['gang']
14,1871,15,"['an', 'die', 'melancholie']"
15,1871,16,"['die', 'geburt', 'der', 'tragoedie', 'aus', 'dem', 'geiste', 'der', 'musik']"
16,1871,17,"['entfleusst', 'dem']"
17,1871,18,"['gerade', 'immer', 'das', 'falsche', 'wird', 'ernst', 'genommen:']"
18,1872,19,"['in', 'einer', 'rechten', 'höhe', 'kommt', 'alles', 'zusammen', 'und', 'über', 'eins', '—', 'die', 'gedanken', 'des', 'philosophen', 'die', 'werke', 'des', 'künstlers', 'und', 'die', 'guten', 'thaten']"
19,1872,20,"['erster', 'vorläufiger', 'entwurf', 'von']"
20,1872,21,['herbst:']
21,1872,22,"['erster', 'tag', '28', 'september']"
22,1872,23,"['nun', 'wurde', 'die', 'ganze', 'gruppe', 'unverständlich', 'später', 'nahm', 'man', 'von', 'den', 'ehrwürdig-unverständlichen', 'weg', 'was', 'man', 'brauchen', 'konnte', 'man', 'plünderte', 'sie', 'aus', 'und', 'dann', 'kommt', 'ein', 'arm', 'des', 'parmenides', 'ein', 'schulterstück', 'des', 'heraklit', 'ein', 'fuß', 'des', 'empedokles', 'bald', 'hier', 'bald', 'dort', 'vor', 'in', 'platon’s', 'akademie', 'sowohl', 'wie', 'in', 'der', 'stoa', 'und', 'in', 'den', 'gärten', 'epikurs', 'um', 'sie', 'als', 'ganzheiten', 'zu', 'verstehen', 'muß', 'man', 'in', 'jedem', 'von', 'ihnen', 'den', 'versuch', 'und', 'ansatz', 'zum', 'griechischen', 'reformator', 'erkennen;', 'diesen', 'sollten', 'sie', 'vorbereiten', 'vor', 'dem', 'sollten', 'sie', 'hergehen', 'wie', 'eine', 'morgenröthe', 'vor', 'der', 'sonne', 'aber', 'die', 'sonne', 'kam', 'nicht', 'der', 'reformator', 'mißlang:', 'so', 'blieb', 'die', 'morgenröthe', 'fast', 'nur', 'eine', 'gespenstische', 'erscheinung', 'daß', 'aber', 'etwas', 'neues', 'in', 'der', 'luft', 'war', 'beweist', 'die', 'gleichzeitige', 'entstehung', 'der', 'tragödie;', 'nur', 'ist', 'der', 'philosoph', 'und', 'gesetzgeber', 'nie', 'erschienen', 'welcher', 'die', 'tragödie', 'begriffen', 'hätte', 'und', 'so', 'starb', 'auch', 'wieder', 'diese', 'kunst', 'und', 'die', 'griechische', 'reformation', 'wurde', 'für', 'immer', 'unmöglich', 'an', 'empedokles', 'kann', 'man', 'nie', 'ohne', 'tiefe', 'trauer', 'denken;', 'er', 'war', 'dem', 'bilde', 'jenes', 'reformators', 'am', 'ähnlichsten;', 'daß', 'es', 'auch', 'ihm', 'mißlang', 'und', 'er', 'zeitig', 'verschwand', 'wer', 'weiß', 'nach', 'was', 'für', 'schrecklichen', 'erfahrungen', 'und', 'in', 'welcher', 'hoffnungslosigkeit', '—', 'das', 'war', 'ein', 'panhellenisches', 'verhängniß', 'seine', 'seele', 'hatte', 'mehr', 'mitleiden', 'als', 'irgend', 'eine', 'griechische', 'seele;', 'und', 'vielleicht', 'doch', 'nicht', 'genug', 'denn', 'im', 'ganzen', 'sind', 'die', 'griechen', 'hierin', 'arm', 'und', 'gerade', 'den', 'großen', 'philosophen', 'ist', 'das', 'tyrannische', 'element', 'in', 'ihrem', 'blute', 'zum', 'hinderniß', 'geworden', 'einen', 'solchen', 'tief-', 'und', 'vollblick', 'wie', 'ihn', 'schopenhauer', 'besaß', 'zu', 'erlangen']"
23,1872,24,"['gesundes', 'hineinblicken', 'in', 'sich', 'selbst', 'ohne', 'sich', 'zu', 'untergraben;', 'nicht', 'mit', 'wahn', 'und', 'fabelei', 'sondern', 'mit', 'reinem', 'schauen', 'in', 'die', 'unerforschte', 'tiefe', 'sich', 'wagen', 'ist', 'eine', 'seltne', 'gabe', 'goethe']"
